Type1,fileid
Poison,resize_Stunky-9.png
Grass,resize_Bellossom-9.png
Water,resize_GyaradosMega Gyarados-3.png
Water,resize_Shellder-31.png
Water,resize_Magikarp-23.jpg
Normal,resize_Patrat-24.jpg
Water,resize_Feebas-26.jpg
Normal,resize_Bunnelby-20.png
Dragon,resize_Zygarde50% Forme-25.jpg
Grass,resize_Abomasnow-23.jpg
Ghost,resize_Gastly-16.jpg
Grass,resize_AbomasnowMega Abomasnow-24.png
Psychic,resize_Grumpig-13.png
Bug,resize_Masquerain-3.png
Normal,resize_Patrat-30.jpg
Normal,resize_Kangaskhan-26.png
Water,resize_Feebas-32.jpg
Dragon,resize_Zygarde50% Forme-31.jpg
Water,resize_Krabby-1.jpg
Fighting,resize_MedichamMega Medicham-10.png
Grass,resize_Seedot-3.png
Fire,resize_Pyroar-23.png
Ground,resize_Stunfisk-24.jpg
Bug,resize_Venomoth-25.jpg
Water,resize_Totodile-18.jpg
Normal,resize_PidgeotMega Pidgeot-33.jpg
Water,resize_Wooper-15.png
Dragon,resize_Dratini-13.jpg
Grass,resize_Gogoat-14.png
Electric,resize_Heliolisk-15.jpg
Rock,resize_Tyrunt-2.png
Electric,resize_Rotom-22.jpg
Fighting,resize_Mienshao-12.png
Water,resize_Kyogre-2.png
Dark,resize_Bisharp-0.png
Psychic,resize_Kirlia-30.png
Fighting,resize_Throh-18.png
Water,resize_Squirtle-23.jpg
Ice,resize_Piloswine-34.jpg
Electric,resize_RotomWash Rotom-34.png
Grass,resize_Meganium-8.jpg
Normal,resize_Spinda-1.png
Dark,resize_Sneasel-12.jpg
Bug,resize_Metapod-28.png
Grass,resize_Snivy-1.png
Water,resize_Kingdra-1.jpg
Fire,resize_Simisear-24.png
Grass,resize_Quilladin-25.gif
Grass,resize_Jumpluff-24.png
Water,resize_Lapras-27.jpg
Psychic,resize_Gothorita-11.jpg
Water,resize_KeldeoResolute Forme-7.png
Fire,resize_Delphox-30.png
Normal,resize_Aipom-9.jpg
Bug,resize_Galvantula-9.png
Normal,resize_KangaskhanMega Kangaskhan-28.jpg
Fire,resize_Fletchinder-7.png
Dark,resize_Murkrow-8.png
Bug,resize_Yanma-9.png
Ground,resize_LandorusIncarnate Forme-12.png
Bug,resize_Yanmega-25.jpg
Water,resize_Slowpoke-33.png
Water,resize_Shellos-20.png
Bug,resize_Kricketune-10.jpg
Psychic,resize_Abra-3.png
Grass,resize_Chespin-26.png
Bug,resize_Nincada-7.jpg
Grass,resize_Exeggcute-3.png
Fairy,resize_Floette-16.jpg
Bug,resize_Spewpa-31.png
Water,resize_Shellos-34.png
Fire,resize_Delphox-24.png
Dark,resize_Poochyena-29.png
Bug,resize_Paras-19.jpg
Psychic,resize_Gardevoir-29.jpg
Normal,resize_Vigoroth-4.jpg
Fire,resize_Volcanion-28.jpg
Normal,resize_Watchog-14.png
Fairy,resize_Xerneas-13.jpg
Dark,resize_Zweilous-2.png
Fire,resize_Infernape-1.jpg
Ground,resize_Krookodile-22.jpg
Psychic,resize_Espurr-16.jpg
Normal,resize_Blissey-14.png
Water,resize_Croconaw-12.png
Grass,resize_Roserade-19.png
Electric,resize_RotomWash Rotom-20.png
Psychic,resize_Elgyem-26.png
Normal,resize_Snorlax-3.png
Rock,resize_Cranidos-29.jpg
Fire,resize_Simisear-18.png
Steel,resize_Lairon-34.png
Bug,resize_Metapod-14.png
Normal,resize_Diggersby-1.png
Water,resize_Golduck-6.png
Bug,resize_Ledyba-13.jpg
Dragon,resize_Shelgon-12.jpg
Grass,resize_Sunkern-23.png
Dark,resize_Hydreigon-26.jpg
Ice,resize_Vanillish-13.png
Rock,resize_Larvitar-21.png
Electric,resize_Emolga-18.png
Electric,resize_Zebstrika-7.png
Normal,resize_Bidoof-19.jpg
Ghost,resize_Gengar-12.jpg
Grass,resize_Meganium-17.png
Water,resize_Tentacool-15.jpg
Fire,resize_Combusken-11.png
Poison,resize_Muk-22.jpg
Bug,resize_Spewpa-19.png
Water,resize_Crawdaunt-25.png
Bug,resize_Paras-31.jpg
Ghost,resize_Dusclops-14.png
Water,resize_Tentacruel-34.jpg
Water,resize_Oshawott-2.png
Dark,resize_Poochyena-15.png
Psychic,resize_Gardevoir-15.jpg
Bug,resize_Paras-25.jpg
Water,resize_Crawdaunt-31.png
Fire,resize_Delphox-18.png
Dark,resize_Scraggy-32.jpg
Water,resize_Tentacruel-20.jpg
Normal,resize_Zangoose-11.jpg
Normal,resize_Watchog-28.png
Ice,resize_Beartic-21.png
Normal,resize_Pidgeot-21.gif
Grass,resize_Torterra-11.png
Psychic,resize_HoopaHoopa Confined-26.png
Electric,resize_Flaaffy-24.png
Steel,resize_SteelixMega Steelix-30.gif
Psychic,resize_Gothita-6.jpg
Rock,resize_Golem-29.png
Ground,resize_Vibrava-17.png
Fairy,resize_Swirlix-6.png
Fairy,resize_Floette-8.png
Rock,resize_Carbink-26.png
Ghost,resize_Phantump-5.png
Grass,resize_Roserade-25.png
Rock,resize_Rampardos-16.jpg
Ice,resize_Froslass-20.png
Dragon,resize_GarchompMega Garchomp-15.png
Water,resize_Wailord-4.png
Water,resize_Pelipper-14.jpg
Ghost,resize_GourgeistAverage Size-9.jpg
Dark,resize_Vullaby-8.png
Rock,resize_TyranitarMega Tyranitar-12.png
Ghost,resize_Drifloon-6.png
Normal,resize_Dunsparce-33.png
Ghost,resize_PumpkabooAverage Size-5.png
Ice,resize_Regice-18.png
Poison,resize_Seviper-19.jpg
Grass,resize_Ivysaur-5.jpg
Steel,resize_Bronzong-15.png
Water,resize_Tentacruel-6.png
Bug,resize_Dwebble-10.png
Ice,resize_Spheal-18.png
Grass,resize_Skiploom-20.jpg
Bug,resize_Dustox-34.jpg
Steel,resize_Mawile-10.png
Water,resize_Tirtouga-14.png
Psychic,resize_Chingling-2.png
Water,resize_BlastoiseMega Blastoise-32.jpg
Dragon,resize_Dragonair-28.jpg
Water,resize_Carracosta-27.png
Poison,resize_Nidorino-6.png
Normal,resize_Fearow-2.png
Bug,resize_Surskit-30.jpg
Water,resize_Horsea-3.png
Water,resize_BlastoiseMega Blastoise-26.jpg
Water,resize_Totodile-2.jpg
Fire,resize_Litleo-30.png
Grass,resize_Skiploom-34.jpg
Normal,resize_Persian-21.jpg
Grass,resize_Victreebel-25.png
Normal,resize_Pidgey-1.png
Dragon,resize_Latios-12.jpg
Normal,resize_Sentret-10.png
Water,resize_Clamperl-17.svg
Bug,resize_Kricketot-19.gif
Fighting,resize_Timburr-3.png
Bug,resize_Mothim-5.png
Psychic,resize_AlakazamMega Alakazam-10.png
Rock,resize_Armaldo-1.png
Dragon,resize_Salamence-17.png
Ground,resize_Baltoy-29.png
Rock,resize_Probopass-8.jpg
Fairy,resize_Swirlix-13.jpg
Bug,resize_Silcoon-12.png
Bug,resize_Escavalier-25.png
Psychic,resize_Mime Jr.-16.jpg
Ground,resize_Golett-13.png
Fire,resize_Camerupt-29.png
Water,resize_Politoed-23.png
Normal,resize_Dunsparce-27.png
Ice,resize_Regice-24.png
Electric,resize_RotomFan Rotom-11.jpg
Dark,resize_Purrloin-15.jpg
Steel,resize_Bronzong-29.png
Water,resize_Staryu-28.png
Normal,resize_Herdier-19.png
Normal,resize_Arceus-5.png
Normal,resize_Minccino-7.png
Water,resize_Mantyke-26.jpg
Ice,resize_Vanillite-13.png
Electric,resize_Zapdos-32.png
Water,resize_Pelipper-28.jpg
Bug,resize_Ariados-4.png
Water,resize_Finneon-14.jpg
Normal,resize_Arceus-32.png
Normal,resize_Linoone-23.png
Bug,resize_Ledian-13.jpg
Steel,resize_Klink-19.jpeg
Water,resize_Simipour-16.jpg
Grass,resize_Ivysaur-32.png
Normal,resize_Lickitung-34.png
Fire,resize_Litleo-18.png
Ice,resize_Spheal-24.png
Dragon,resize_Dragonite-12.png
Normal,resize_Taillow-28.png
Bug,resize_Shedinja-1.png
Water,resize_Remoraid-5.jpg
Electric,resize_RotomFrost Rotom-34.jpg
Water,resize_Clawitzer-0.png
Ghost,resize_Banette-3.png
Psychic,resize_Cresselia-21.jpg
Grass,resize_Victreebel-19.png
Poison,resize_Nidoking-21.png
Water,resize_Corsola-31.png
Electric,resize_RotomFrost Rotom-20.jpg
Psychic,resize_MeowsticFemale-29.jpg
Ground,resize_Phanpy-2.jpg
Water,resize_Blastoise-0.png
Electric,resize_RotomMow Rotom-10.png
Electric,resize_Magneton-12.png
Normal,resize_Lickitung-20.png
Grass,resize_Ivysaur-26.png
Electric,resize_RotomFan Rotom-8.png
Water,resize_Clauncher-6.png
Grass,resize_Weepinbell-28.gif
Psychic,resize_Abra-10.jpg
Ground,resize_Baltoy-15.png
Bug,resize_PinsirMega Pinsir-12.png
Fire,resize_Pignite-6.jpg
Electric,resize_Zapdos-26.png
Bug,resize_Escavalier-19.png
Fire,resize_Ho-oh-21.jpg
Psychic,resize_Beheeyem-6.jpg
Fire,resize_Tepig-4.jpg
Psychic,resize_DeoxysSpeed Forme-4.png
Poison,resize_Seviper-31.jpg
Water,resize_Dewott-0.png
Ground,resize_Marowak-9.png
Fire,resize_Simisear-2.png
Water,resize_Frogadier-15.png
Rock,resize_Kabutops-8.png
Water,resize_Swanna-29.png
Ice,resize_Cubchoo-23.jpg
Water,resize_Carracosta-33.jpg
Grass,resize_SceptileMega Sceptile-5.jpg
Fire,resize_Chimchar-4.png
Normal,resize_Lopunny-5.png
Normal,resize_Starly-14.png
Normal,resize_Persian-1.jpg
Electric,resize_Luxray-3.png
Psychic,resize_Celebi-8.png
Water,resize_SwampertMega Swampert-30.png
Bug,resize_Vespiquen-23.jpg
Bug,resize_Dustox-20.png
Electric,resize_ThundurusIncarnate Forme-33.jpg
Normal,resize_Herdier-31.jpg
Dragon,resize_Goodra-23.png
Steel,resize_Jirachi-1.png
Dragon,resize_Goodra-0.jpg
Water,resize_Frogadier-29.jpg
Water,resize_Palkia-28.png
Fire,resize_Fennekin-19.jpg
Fire,resize_Magmortar-29.jpg
Ghost,resize_Trevenant-0.png
Ice,resize_Froslass-34.jpg
Normal,resize_Eevee-6.jpg
Poison,resize_Gulpin-0.png
Water,resize_Finneon-28.png
Water,resize_KeldeoOrdinary Forme-2.jpg
Bug,resize_Escavalier-31.jpg
Grass,resize_Ferrothorn-21.png
Ground,resize_Groudon-23.jpg
Normal,resize_Herdier-25.jpg
Bug,resize_Combee-3.png
Dark,resize_Purrloin-29.png
Dark,resize_Honchkrow-1.png
Fighting,resize_Throh-9.jpg
Normal,resize_Dunsparce-4.png
Ghost,resize_Misdreavus-9.png
Water,resize_Staryu-14.jpg
Grass,resize_Victreebel-31.jpg
Ice,resize_Vanillite-6.jpg
Water,resize_SwampertMega Swampert-24.png
Water,resize_Corsola-19.jpg
Poison,resize_Toxicroak-7.png
Water,resize_Panpour-18.png
Ice,resize_Spheal-6.png
Electric,resize_ThundurusIncarnate Forme-27.jpg
Normal,resize_Deerling-23.png
Ground,resize_GroudonPrimal Groudon-29.png
Normal,resize_Taillow-14.jpg
Normal,resize_LopunnyMega Lopunny-1.png
Psychic,resize_Reuniclus-12.png
Rock,resize_Amaura-19.jpg
Fire,resize_Litleo-24.jpg
Bug,resize_Surskit-24.png
Ghost,resize_BanetteMega Banette-4.png
Poison,resize_Swalot-16.png
Water,resize_SharpedoMega Sharpedo-9.jpg
Dark,resize_Weavile-2.png
Ice,resize_Spheal-30.jpg
Psychic,resize_Munna-1.png
Water,resize_Relicanth-13.png
Ground,resize_Excadrill-4.jpg
Rock,resize_Amaura-31.jpg
Electric,resize_Tynamo-10.jpg
Poison,resize_Koffing-22.gif
Grass,resize_Turtwig-23.png
Normal,resize_Starly-28.png
Poison,resize_Skorupi-20.jpg
Fire,resize_Camerupt-15.jpg
Fire,resize_Fennekin-25.jpg
Fire,resize_Magmortar-15.jpg
Water,resize_Mantyke-32.png
Ground,resize_Drilbur-9.svg
Fire,resize_DarmanitanStandard Mode-6.jpg
Ice,resize_Avalugg-4.png
Electric,resize_ThundurusTherian Forme-5.png
Ice,resize_Regice-30.jpg
Water,resize_Palkia-14.png
Fire,resize_Magcargo-8.png
Poison,resize_Seviper-25.png
Normal,resize_Whismur-27.png
Poison,resize_Skorupi-34.jpg
Fire,resize_Fennekin-31.jpg
Dark,resize_AbsolMega Absol-17.png
Fire,resize_Ponyta-16.jpg
Dragon,resize_GarchompMega Garchomp-29.jpg
Rock,resize_Amaura-25.jpg
Water,resize_SharpedoMega Sharpedo-20.gif
Dragon,resize_Dragonair-14.png
Dark,resize_Mightyena-17.jpg
Water,resize_Marill-2.png
Bug,resize_Surskit-18.png
Grass,resize_Tangrowth-23.jpg
Water,resize_Corsola-25.jpg
Water,resize_Starmie-7.png
Water,resize_Tirtouga-28.jpg
Water,resize_SwampertMega Swampert-18.png
Water,resize_Panpour-24.png
Ground,resize_GroudonPrimal Groudon-15.png
Psychic,resize_Espurr-9.png
Psychic,resize_Swoobat-26.png
Water,resize_Slowpoke-27.jpg
Steel,resize_Doublade-22.png
Water,resize_Floatzel-12.png
Normal,resize_Miltank-9.jpg
Bug,resize_Yanmega-31.png
Poison,resize_Seviper-8.png
Fairy,resize_Spritzee-31.png
Water,resize_Vaporeon-11.png
Flying,resize_TornadusTherian Forme-5.png
Normal,resize_Bibarel-15.png
Bug,resize_Karrablast-32.png
Normal,resize_Vigoroth-20.jpg
Fire,resize_Talonflame-11.png
Poison,resize_Skuntank-14.png
Normal,resize_Audino-0.png
Fire,resize_Typhlosion-24.jpg
Grass,resize_Amoonguss-5.png
Fire,resize_Simisear-30.jpg
Grass,resize_Jumpluff-30.jpg
Water,resize_Lapras-33.png
Grass,resize_Virizion-11.png
Rock,resize_Lunatone-3.png
Electric,resize_Helioptile-17.jpg
Normal,resize_Bidoof-31.png
Psychic,resize_Munna-11.jpg
Normal,resize_Pidove-13.jpg
Dragon,resize_Garchomp-33.png
Psychic,resize_Solosis-27.png
Electric,resize_Jolteon-21.jpg
Bug,resize_Yanmega-1.png
Fire,resize_Moltres-4.png
Fire,resize_Rapidash-7.png
Normal,resize_Unfezant-21.png
Dragon,resize_Haxorus-5.png
Rock,resize_Golem-15.jpg
Electric,resize_Flaaffy-18.jpg
Psychic,resize_Drowzee-4.png
Normal,resize_Bidoof-25.png
Psychic,resize_Solosis-33.png
Dragon,resize_Garchomp-27.png
Psychic,resize_Elgyem-32.jpg
Water,resize_SlowbroMega Slowbro-13.png
Bug,resize_Joltik-6.jpg
Electric,resize_Emolga-24.jpg
Fire,resize_Pansear-16.jpg
Electric,resize_Luxray-13.jpg
Fire,resize_Typhlosion-30.jpg
Poison,resize_Muk-4.png
Water,resize_Slowpoke-0.jpg
Fairy,resize_Spritzee-25.png
Bug,resize_Karrablast-26.png
Flying,resize_TornadusIncarnate Forme-16.jpg
Normal,resize_Slakoth-12.jpg
Poison,resize_Nidorina-9.jpg
Normal,resize_Vigoroth-34.jpg
Ghost,resize_Dusclops-28.jpg
Water,resize_Shellos-5.png
Dark,resize_Zorua-13.png
Psychic,resize_Swoobat-32.png
Fairy,resize_Florges-12.jpg
Bug,resize_Spewpa-25.jpg
Ghost,resize_Lampent-4.png
Grass,resize_Chespin-32.jpg
Water,resize_Tentacool-29.png
Steel,resize_MawileMega Mawile-23.png
Fairy,resize_Slurpuff-3.png
Fire,resize_Heatmor-4.png
Bug,resize_HeracrossMega Heracross-10.jpg
Water,resize_Lanturn-16.gif
Fire,resize_Volcanion-14.png
Normal,resize_Wigglytuff-16.jpg
Steel,resize_Jirachi-11.gif
Normal,resize_Bibarel-29.png
Fairy,resize_Aromatisse-11.png
Dragon,resize_RayquazaMega Rayquaza-30.jpg
Dragon,resize_Dratini-9.jpg
Normal,resize_Delcatty-32.png
Ice,resize_Cryogonal-3.png
Water,resize_Lapras-6.jpg
Normal,resize_Porygon-Z-5.png
Fairy,resize_Aromatisse-7.png
Dragon,resize_RayquazaMega Rayquaza-9.jpg
Grass,resize_Gloom-11.jpg
Rock,resize_Cranidos-15.png
Electric,resize_Electivire-20.png
Electric,resize_Ampharos-3.png
Dark,resize_Zweilous-27.png
Fire,resize_Typhlosion-18.jpg
Fighting,resize_Machoke-23.png
Bug,resize_Wurmple-33.png
Ground,resize_Vibrava-7.png
Poison,resize_Skuntank-28.png
Grass,resize_Sceptile-11.jpg
Water,resize_Golduck-11.gif
Fire,resize_Flareon-22.png
Dark,resize_Hydreigon-32.png
Steel,resize_Lairon-20.jpg
Water,resize_Seel-8.png
Fire,resize_CharizardMega Charizard Y-10.jpg
Normal,resize_Blissey-28.jpg
Bug,resize_Pineco-16.jpg
Dark,resize_Scrafty-5.png
Dark,resize_Zweilous-33.png
Bug,resize_Wurmple-27.png
Grass,resize_Roserade-31.jpg
Grass,resize_Jumpluff-18.jpg
Electric,resize_Pikachu-2.jpg
Rock,resize_Terrakion-6.jpg
Normal,resize_Kecleon-21.jpg
Rock,resize_Anorith-11.svg
Normal,resize_Sentret-2.png
Normal,resize_Ambipom-22.png
Bug,resize_Shelmet-7.png
Bug,resize_BeedrillMega Beedrill-13.jpg
Electric,resize_Electrike-17.png
Electric,resize_Electivire-34.png
Dragon,resize_Rayquaza-7.png
Grass,resize_Victreebel-8.gif
Electric,resize_Flaaffy-30.jpg
Dark,resize_SableyeMega Sableye-9.png
Psychic,resize_HoopaHoopa Confined-32.jpg
Normal,resize_Delcatty-26.png
Normal,resize_Staraptor-7.png
Dark,resize_Deino-4.jpg
Steel,resize_AggronMega Aggron-3.jpg
Dark,resize_Umbreon-21.jpg
Bug,resize_Yanmega-19.png
Dark,resize_Scraggy-26.png
Fairy,resize_Spritzee-19.png
Flying,resize_TornadusIncarnate Forme-7.png
Psychic,resize_Mime Jr.-6.jpg
Dragon,resize_RayquazaMega Rayquaza-24.jpg
Dark,resize_SableyeMega Sableye-8.png
Electric,resize_Flaaffy-31.jpg
Electric,resize_Emolga-19.jpg
Rock,resize_Larvitar-20.jpg
Dragon,resize_Rayquaza-6.png
Electric,resize_Electrike-16.png
Normal,resize_Ambipom-23.png
Bug,resize_Ledyba-12.png
Normal,resize_Diggersby-0.jpg
Electric,resize_Pikachu-3.jpg
Bug,resize_Metapod-15.jpg
Dark,resize_Hydreigon-27.png
Water,resize_Cloyster-27.jpg
Bug,resize_Wurmple-26.png
Dark,resize_Scrafty-4.png
Water,resize_Crawdaunt-24.jpg
Flying,resize_TornadusIncarnate Forme-6.png
Fire,resize_Chimchar-13.gif
Dark,resize_Scraggy-27.png
Fighting,resize_Primeape-4.png
Ghost,resize_Gengar-13.png
Bug,resize_Yanmega-18.png
Normal,resize_KangaskhanMega Kangaskhan-15.png
Bug,resize_Spewpa-18.jpg
Normal,resize_Delcatty-27.png
Ice,resize_Cryogonal-2.png
Normal,resize_Porygon-Z-4.png
Normal,resize_Delcatty-33.png
Fairy,resize_Aromatisse-10.png
Normal,resize_Bibarel-28.png
Water,resize_Crawdaunt-30.jpg
Ground,resize_Hippopotas-16.gif
Psychic,resize_Gardevoir-14.png
Dark,resize_Poochyena-14.jpg
Steel,resize_Jirachi-10.gif
Fire,resize_Volcanion-15.png
Water,resize_Tentacruel-21.png
Water,resize_Corsola-9.png
Water,resize_Mudkip-6.png
Normal,resize_Blissey-29.jpg
Fire,resize_CharizardMega Charizard Y-11.jpg
Water,resize_Seel-9.png
Water,resize_Cloyster-33.jpg
Rock,resize_Rampardos-17.png
Fire,resize_Flareon-23.png
Grass,resize_Sceptile-10.jpg
Ground,resize_Vibrava-6.png
Bug,resize_Wurmple-32.png
Fighting,resize_Machoke-22.png
Poison,resize_Skuntank-29.png
Fire,resize_Typhlosion-19.jpg
Dark,resize_Zweilous-26.png
Psychic,resize_Gothita-7.png
Rock,resize_Larvitar-34.jpg
Electric,resize_Ampharos-2.png
Fighting,resize_Machop-0.png
Rock,resize_Carbink-27.jpg
Rock,resize_Cranidos-14.png
Grass,resize_Foongus-6.gif
Water,resize_Kingdra-0.png
Normal,resize_Cinccino-34.png
Psychic,resize_Gothorita-10.png
Water,resize_Ducklett-3.png
Electric,resize_Emolga-25.jpg
Electric,resize_Luxray-12.jpg
Normal,resize_Unfezant-34.png
Psychic,resize_Elgyem-33.jpg
Dark,resize_Sneasel-13.png
Psychic,resize_Solosis-32.png
Normal,resize_Spinda-0.jpg
Grass,resize_Meganium-9.png
Psychic,resize_Drowzee-5.png
Normal,resize_Bidoof-24.png
Bug,resize_HeracrossMega Heracross-11.jpg
Bug,resize_Yanmega-24.png
Grass,resize_Chespin-33.jpg
Dark,resize_Murkrow-9.jpg
Normal,resize_KangaskhanMega Kangaskhan-29.png
Normal,resize_Rattata-2.jpg
Ghost,resize_Lampent-5.png
Bug,resize_Spewpa-24.jpg
Water,resize_Shellos-21.jpg
Water,resize_Slowpoke-32.jpg
Dragon,resize_RayquazaMega Rayquaza-19.jpg
Water,resize_Shellos-4.png
Electric,resize_Manectric-10.jpg
Poison,resize_Nidorina-8.jpg
Fire,resize_Delphox-31.jpg
Normal,resize_Vigoroth-5.png
Normal,resize_Vigoroth-21.jpg
Normal,resize_Bibarel-14.png
Fairy,resize_Spritzee-30.png
Flying,resize_TornadusTherian Forme-4.png
Fairy,resize_Xerneas-12.png
Fire,resize_Volcanion-29.png
Poison,resize_Seviper-9.png
Bug,resize_Yanmega-30.png
Bug,resize_Nincada-6.png
Water,resize_Psyduck-9.jpg
Steel,resize_Doublade-23.png
Bug,resize_Spewpa-30.jpg
Water,resize_Slowpoke-26.jpg
Fairy,resize_Floette-17.png
Rock,resize_Golem-14.jpg
Ice,resize_Piloswine-21.png
Rock,resize_Cranidos-28.png
Normal,resize_Unfezant-20.png
Dragon,resize_Haxorus-4.png
Bug,resize_Yanmega-0.png
Fire,resize_Rapidash-6.png
Psychic,resize_Solosis-26.png
Normal,resize_Bidoof-30.png
Dark,resize_Inkay-16.png
Psychic,resize_Munna-10.jpg
Psychic,resize_Espurr-17.png
Rock,resize_Lunatone-2.png
Grass,resize_Jumpluff-31.jpg
Grass,resize_Amoonguss-4.png
Normal,resize_Audino-1.png
Poison,resize_Skuntank-15.png
Dragon,resize_GarchompMega Garchomp-28.jpg
Ice,resize_Vanillite-12.jpg
Electric,resize_Zapdos-33.jpg
Dark,resize_AbsolMega Absol-16.png
Bug,resize_Ledian-12.png
Normal,resize_Linoone-22.jpg
Normal,resize_Whismur-26.png
Steel,resize_Bronzong-28.jpg
Electric,resize_RotomFan Rotom-10.png
Dark,resize_Purrloin-14.png
Ice,resize_Regice-25.jpg
Poison,resize_Seviper-24.png
Normal,resize_Arceus-4.jpg
Psychic,resize_Espurr-8.png
Ground,resize_GroudonPrimal Groudon-14.png
Dragon,resize_Dragonite-13.jpg
Water,resize_Panpour-25.png
Water,resize_Starmie-6.png
Water,resize_Corsola-24.jpg
Water,resize_Tirtouga-29.jpg
Water,resize_Simipour-17.png
Bug,resize_Surskit-19.png
Water,resize_Marill-3.png
Dark,resize_Mightyena-16.jpg
Grass,resize_Bellsprout-10.jpg
Dragon,resize_Dragonair-15.png
Bug,resize_Kakuna-2.png
Normal,resize_Starly-29.png
Psychic,resize_MeowsticFemale-8.jpg
Electric,resize_RotomFan Rotom-9.jpg
Electric,resize_Magneton-13.jpg
Water,resize_Blastoise-1.jpg
Rock,resize_Amaura-30.jpg
Water,resize_Relicanth-12.png
Water,resize_Panpour-31.png
Electric,resize_RotomFrost Rotom-21.png
Ghost,resize_BanetteMega Banette-5.png
Ghost,resize_Banette-2.jpg
Water,resize_Palkia-15.png
Ice,resize_Regice-31.jpg
Electric,resize_ThundurusTherian Forme-4.png
Ice,resize_Avalugg-5.png
Water,resize_Swanna-28.jpg
Rock,resize_Kabutops-9.jpg
Fire,resize_DarmanitanStandard Mode-7.jpg
Electric,resize_Zapdos-27.jpg
Fire,resize_Pignite-7.png
Fire,resize_Torkoal-12.png
Psychic,resize_DeoxysSpeed Forme-5.jpg
Psychic,resize_Beheeyem-7.png
Fire,resize_Ho-oh-20.png
Water,resize_Seaking-4.png
Steel,resize_Bronzong-14.jpg
Grass,resize_Ivysaur-4.png
Water,resize_Staryu-15.jpg
Ghost,resize_Misdreavus-8.png
Dark,resize_Purrloin-28.png
Ice,resize_Regice-19.jpg
Ghost,resize_PumpkabooAverage Size-4.jpg
Dark,resize_Honchkrow-0.png
Bug,resize_Combee-2.png
Grass,resize_Ferrothorn-20.png
Normal,resize_Herdier-24.jpg
Water,resize_Wailord-5.jpg
Bug,resize_Escavalier-30.jpg
Water,resize_KeldeoOrdinary Forme-3.jpg
Normal,resize_Dunsparce-32.jpg
Ghost,resize_Drifloon-7.jpg
Dark,resize_Vullaby-9.jpg
Bug,resize_Surskit-25.png
Water,resize_BlastoiseMega Blastoise-33.png
Electric,resize_Electabuzz-34.png
Water,resize_Carracosta-26.jpg
Dragon,resize_Dragonair-29.png
Psychic,resize_Reuniclus-13.png
Ground,resize_GroudonPrimal Groudon-28.png
Normal,resize_Deerling-22.png
Electric,resize_ThundurusIncarnate Forme-26.jpg
Normal,resize_Taillow-15.jpg
Grass,resize_Skiploom-21.png
Poison,resize_Toxicroak-6.png
Ice,resize_Spheal-19.jpg
Water,resize_Corsola-18.jpg
Ice,resize_Vanillite-7.jpg
Bug,resize_Dustox-21.png
Bug,resize_Vespiquen-22.jpg
Grass,resize_Victreebel-24.jpg
Normal,resize_Persian-0.jpg
Water,resize_BlastoiseMega Blastoise-27.png
Bug,resize_Surskit-31.png
Normal,resize_Starly-15.png
Electric,resize_Electabuzz-20.png
Normal,resize_Lopunny-4.png
Ice,resize_Regice-1.png
Water,resize_Totodile-3.png
Ice,resize_Cubchoo-22.jpg
Normal,resize_Raticate-22.gif
Bug,resize_Silcoon-13.jpg
Fairy,resize_Swirlix-12.png
Rock,resize_Probopass-9.png
Ground,resize_Baltoy-28.jpg
Ghost,resize_Trevenant-1.png
Dragon,resize_Salamence-16.jpg
Fire,resize_Magmortar-28.jpg
Water,resize_Frogadier-28.jpg
Psychic,resize_AlakazamMega Alakazam-11.jpg
Water,resize_Swanna-14.jpg
Dragon,resize_Goodra-22.png
Water,resize_Clauncher-7.png
Electric,resize_Tynamo-11.png
Normal,resize_Lickitung-21.png
Grass,resize_Ivysaur-27.png
Ground,resize_Phanpy-3.jpg
Grass,resize_Turtwig-22.jpg
Psychic,resize_MeowsticFemale-28.jpg
Poison,resize_Nidoking-20.png
Grass,resize_Victreebel-18.png
Poison,resize_Swalot-17.jpg
Psychic,resize_Cresselia-20.jpg
Electric,resize_Blitzle-2.png
Psychic,resize_Munna-0.jpg
Ice,resize_Spheal-31.png
Dark,resize_Weavile-3.jpg
Water,resize_Frogadier-14.png
Fire,resize_Simisear-3.png
Ground,resize_Marowak-8.png
Normal,resize_Whismur-32.jpg
Water,resize_Dewott-1.png
Poison,resize_Seviper-30.jpg
Fire,resize_Magmortar-14.png
Fire,resize_Fennekin-24.png
Normal,resize_Arceus-27.png
Fire,resize_Camerupt-14.png
Bug,resize_Escavalier-18.png
Bug,resize_PinsirMega Pinsir-13.png
Water,resize_Mantyke-33.jpg
Ground,resize_Baltoy-14.png
Normal,resize_Arceus-33.png
Fire,resize_Fennekin-30.png
Water,resize_Finneon-15.jpg
Grass,resize_Treecko-12.png
Fire,resize_Ho-oh-34.jpg
Bug,resize_Ariados-5.png
Fire,resize_Torkoal-1.png
Water,resize_Pelipper-29.jpg
Normal,resize_Minccino-6.png
Fire,resize_Ponyta-17.png
Normal,resize_Herdier-18.png
Water,resize_Staryu-29.png
Water,resize_SwampertMega Swampert-19.jpg
Water,resize_Clawitzer-1.png
Poison,resize_Nidoking-34.png
Water,resize_Remoraid-4.jpg
Bug,resize_Shedinja-0.png
Psychic,resize_Cresselia-34.jpg
Normal,resize_Taillow-29.png
Ground,resize_Dugtrio-12.png
Ice,resize_Spheal-25.png
